#weight  minuslogpost      logGnu      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck        Gnu            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  chi2__CMB  minuslogprior  minuslogprior__0      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE_lite  chi2__planck_2018_lensing.clik
      4     565.06061  -0.5996852 2.9556251 0.91992128     1.0486014 0.022702186 0.11854871  0.08617841 0.99694099 0.25137079  1.921373e-09 71.267976 0.27810088  0.1412509 0.72181676 0.24552003 0.24684699 2.5263849 10.552292 0.79049485 0.93637936   0.4168696   0.57404989  1.921373 1.6171789 13.503514 147.11627  1149.9619     -9.9203184        -9.9203184 1149.9619                  26.664669                  414.15043                                 699.44223                        9.704523
     13     561.15065  -0.6083763 2.9507671 0.92104678     1.0487197 0.022775818 0.11861742 0.083406595 0.99703279 0.24639036 1.9120615e-09 71.346459 0.27776902 0.14139324  0.7221488 0.24554942  0.2468765 2.5132091 10.291428 0.78893613 0.93401883  0.41579929   0.57274696 1.9120615  1.618288 13.493116 147.01659  1142.2305     -9.9645749        -9.9645749 1142.2305                  26.183346                  411.66981                                 694.23576                       10.141541
      5     560.26122 -0.59767924 2.9549217 0.92186096     1.0487497 0.022780247 0.11876132 0.085030067 0.99735089 0.25253452 1.9200219e-09 71.308331 0.27835783 0.14154156  0.7215599 0.24555127 0.24687835 2.5124096 10.434857 0.79128841  0.9370541  0.41748081   0.57475884 1.9200219 1.6197576 13.492439 146.97363  1140.7374     -10.107499        -10.107499 1140.7374                   26.06425                  412.90559                                 692.15718                       9.6104247
      5     558.86573 -0.54543987 2.9704472  0.9224564     1.0490386 0.022825728 0.11872978 0.092622638 0.99743232 0.28481321 1.9500638e-09 71.457816 0.27722174 0.14155551 0.72269633 0.24557073 0.24689789 2.5041772  11.07071 0.79722226 0.94309305  0.41975228   0.57847719 1.9500638 1.6203089 13.479435 146.93173  1138.0144     -10.141481        -10.141481 1138.0144                  26.586416                  419.59292                                 683.16552                       8.6695589
     11     557.86541 -0.61530308 2.9719923 0.92294139     1.0490566 0.022844199 0.11853487  0.09356068 0.99748021 0.24249172 1.9530792e-09 71.550625  0.2761584 0.14137907 0.72375989 0.24557888 0.24690606 2.5008286 11.139224 0.79754737 0.94286556  0.41911733   0.57815735 1.9530792 1.6197728 13.476235 146.96289  1136.0528     -10.160973        -10.160973 1136.0528                  26.433661                  420.32275                                 680.37061                       8.9257474
     17     558.30956 -0.60847583  2.973982 0.92217428     1.0490779 0.022838168 0.11872389 0.094484808 0.99730078 0.24633389 1.9569691e-09 71.484096 0.27703076 0.14156206 0.72288737  0.2455762 0.24690337  2.501922 11.223323 0.79880901 0.94479642  0.42044283   0.57952871 1.9569691 1.6200018 13.477044 146.91956  1136.7912     -10.086058        -10.086058 1136.7912                  26.754739                  421.37989                                 679.91302                       8.7435813
      5     558.28871 -0.65318353 2.9674114 0.92070838     1.0490614  0.02278449 0.11909917 0.090494349 0.99753716 0.22223705 1.9441527e-09   71.2965 0.27912321 0.14188366 0.72079449 0.24555305 0.24688014 2.5116434 10.911929 0.79759365 0.94459922  0.42138558   0.57973654 1.9441527 1.6222881 13.484453 146.87974  1136.9448     -10.183672        -10.183672 1136.9448                  26.820293                  417.93927                                 683.22893                       8.9562726
 4 555.73357 -0.57764894  2.969326 0.92078193 1.0491527 0.022792388 0.11917273 0.091053179 0.99778131 0.26445456 1.9478787e-09 71.307984 0.27919352 0.14196512  0.7207242 0.24555638 0.24688348 2.5102156 10.958985 0.79828382 0.94534047 0.42180332 0.58027474 1.9478787 1.6235816 13.481346 146.85161 1132.0174 -10.275113 -10.275113 1132.0174 26.967226 418.49488 677.89731 8.6579539
26 555.60162 -0.58409221 2.9694695 0.92076288 1.0491559 0.022793373 0.11917042 0.091035444 0.99785981 0.26056003 1.9481581e-09  71.31077  0.2791691  0.1419638 0.72074863  0.2455568  0.2468839 2.5100373 10.957126  0.7983555 0.94540688 0.42182275 0.58031415 1.9481581 1.6238721 13.481145 146.85113 1131.8082 -10.302488 -10.302488 1131.8082 26.966871 418.48432 677.68889 8.6681285
 5 553.96136 -0.62562784 2.9688409 0.92260823 1.0493057 0.022830479 0.11922551 0.091096217 0.99746739  0.2367948  1.946934e-09 71.374088 0.27885498 0.14205599  0.7210629 0.24557282 0.24689998 2.5033158 10.952524 0.79900345 0.94575439 0.42192752 0.58062169  1.946934 1.6226545 13.473382 146.79571 1128.2343 -10.155789 -10.155789 1128.2343 26.365301 418.23303   674.808 8.8279674
